nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,biaya_karyawan,jumlah_pelanggan
UD. Alif Pamungkas,Kesehatan,1.0,56.0,15.519740334081922,15.033690067461153,Tokopedia,479.0,Belum Terdaftar,2015,18.95717412031489,6.173786103901937
UD. Zidanar Panji,Perdagangan,5.0,44.0,15.816772291112633,17.503631274309495,Bukalapak,464.0,Terdaftar,2014,18.80594315154573,6.142037405587356
UD. Winda Jayengprana,unknown,74.0,51.0,15.999510631298719,17.044469615744863,Website Sendiri,383.0,Belum Terdaftar,2000,19.74243658660135,5.950642552587727
UD. Damaris Satria,Jasa,89.0,5.0,16.068205687231004,16.845663098637825,Website Sendiri,986.0,Belum Terdaftar,2003,19.457417632448486,6.894670039433482
UD. Qasya Wiratama,Jasa,91.0,59.0,16.062250327578806,15.388452729134528,Lazada,314.0,Belum Terdaftar,2002,19.92475814295086,5.752572638825633
UD. Grego Wiraatmaja Nara,Jasa,76.0,36.0,16.020716532375417,16.775476628667516,Bukalapak,661.0,Belum Terdaftar,2000,19.632621720903668,6.495265555937008
UD. Mika Bagaskara,Perdagangan,37.0,53.0,15.91140045569634,15.362915181876712,Lazada,714.0,Terdaftar,2003,19.413932520666354,6.218600119691729
UD. Yora Selaras,Kesehatan,75.0,3.0,15.771659115186383,16.631482890982088,Tokopedia,460.0,Belum Terdaftar,2009,19.27083167759548,6.133398042996649
UD. Wenny Langit,Jasa,82.0,82.0,14.825611800245976,17.058563857884238,Shopee,120.0,Belum Terdaftar,2000,20.013989276489102,4.795790545596741
UD. Fani Wijaya,Jasa,17.0,46.0,15.911902501444922,17.56624679212288,Website Sendiri,871.0,Belum Terdaftar,2006,19.05725757831492,6.77078942390898
UD. Karim Asmaralaya,Perdagangan,18.0,84.0,15.877620394603628,15.407091173719037,Bukalapak,736.0,Terdaftar,2014,19.53909566318463,6.602587892189336
UD. Jafar Gandewa,Pendidikan,27.0,36.0,16.024445302870863,17.598391221918664,Tokopedia,580.0,Belum Terdaftar,2008,19.05725757831492,6.364750756851911
UD. Elyas Wiraatmaja,Perdagangan,11.0,81.0,15.33228983214866,16.8892533680377,Bukalapak,593.0,Belum Terdaftar,2015,19.435911427304614,6.386879319362645
UD. Erlangga Wiyata,Kesehatan,95.0,41.0,14.489188435669275,16.275277247200055,Website Sendiri,26.0,Belum Terdaftar,2004,19.826777734819416,3.295836866004329
UD. Hasna Saputranegara,Kesehatan,51.0,47.0,13.805589506682455,16.399569693405894,Shopee,143.0,Belum Terdaftar,2019,19.499090328704316,4.969813299576001
UD. Farhan Mulyo,Pendidikan,86.0,60.0,15.880902109158603,17.562638070928237,Website Sendiri,321.0,Belum Terdaftar,2009,19.897729470623826,5.7745515455444085
UD. Farhan Sukadarma,Perdagangan,99.0,61.0,14.032745487703412,17.59643224431744,Tokopedia,661.0,Belum Terdaftar,2016,19.989296663949546,6.495265555937008
UD. Qisha Saprahan,Perdagangan,57.0,54.0,15.994256338021222,17.679862899348816,Bukalapak,542.0,Belum Terdaftar,2022,19.62365305094772,6.297109319933935
UD. Tasya Tunggul,Kesehatan,93.0,49.0,15.968823999292054,17.459228275944874,Website Sendiri,852.0,Terdaftar,2024,19.773935253578035,6.748759547491679
UD. Yudi Kamajaya,Pendidikan,21.0,14.0,15.730199648280603,16.481659988432014,Website Sendiri,203.0,Terdaftar,2018,18.46947091764561,5.318119993844216
UD. Putri Wiraatmaja Rafif,Perdagangan,44.0,58.0,15.382402281976406,17.058563857884238,Website Sendiri,904.0,Terdaftar,2016,19.53909566318463,6.807934943699926
UD. Olivia Kusumasari,Pendidikan,61.0,62.0,15.76294868192828,17.334602020968866,Shopee,669.0,Terdaftar,2020,19.72630720471483,6.507277712385012
UD. Dea Tunggul Ziva,Perdagangan,41.0,65.0,15.186331571916412,17.64967664347671,Website Sendiri,841.0,Terdaftar,2014,19.577561943889105,6.7357800142423265
UD. Iqra Panji,Pendidikan,66.0,41.0,15.376822365692643,17.373856806111142,Tokopedia,633.0,Belum Terdaftar,2002,19.586951684209556,6.452048954437226
UD. Tono Surapati,Kesehatan,8.0,30.0,15.542483119653854,17.39700230416503,Website Sendiri,285.0,Terdaftar,2009,18.5517090151307,5.655991810819852
UD. Qisha Kusumah,Perdagangan,63.0,5.0,15.590970746006535,17.560648008163735,Shopee,104.0,Terdaftar,2013,19.13363055671045,4.653960350157523
UD. Tari Jayeng,Pendidikan,14.0,18.0,15.612575760197805,16.835903492378673,Shopee,173.0,Terdaftar,2016,18.379858759848776,5.159055299214529
UD. Uli Widhi,unknown,29.0,37.0,15.199725007567054,15.508388109653634,Bukalapak,327.0,Belum Terdaftar,2016,19.103777593709314,5.793013608384144
UD. Clarissa Cahaya,Kesehatan,25.0,78.0,14.22208238676444,16.562932614643326,Tokopedia,545.0,Terdaftar,2005,19.548851838098265,6.302618975744905
UD. Nisa Hastinapura,Pendidikan,93.0,32.0,15.190873387010484,16.95845516804312,Lazada,991.0,Belum Terdaftar,2012,19.74243658660135,6.899723107284872
UD. Chiko Suryaatmaja,Perdagangan,68.0,89.0,14.740998465854554,15.192269349705564,Tokopedia,914.0,Terdaftar,2006,19.970368654103833,6.818924065275521
